military_id,full_name,rank,unit,assigned_vehicle_id,mission_role
7009515,אריאל סגל,סרן,גולני,ZEEV-7,מפקד
2652067,מתן שפירא,סמל,שריון 188,NAMER-13,נהג
5404424,משה גבאי,"רס""ל","מג""ב",ZEEV-9,קלע
7773689,אלון מזרחי,"סמ""ר",איסוף קרבי,לא משובץ,מטוליסט
2043755,מתן כץ,סמל,"נח""ל",לא משובץ,קלע
7709913,אורי לוי,טוראי,"מג""ב",MERKAVA-10,מאגיסט
8302778,איתי אזולאי,"רב""ט",שריון 7,ZEEV-7,תותחן
6638353,עומר חדד,טוראי,"מג""ב",NAMER-5,מפקד
9357088,שלומי בן דוד,סמל,שריון 7,MERKAVA-6,לוחם
1795233,אבי חדד,"סמ""ר",כפיר,MERKAVA-10,לוחם
2040310,דני חדד,סרן,שריון 7,MERKAVA-9,קלע
1306816,רועי ביטון,סרן,צנחנים,לא משובץ,מפקד
5153245,אלון מזרחי,"רס""ל","מג""ב",HUMMER-3,חובש
2079208,מתן גבאי,"סמ""ר","מג""ב",HUMMER-9,מטוליסט
7906137,איתי אזולאי,"רס""ל",גבעתי,HUMMER-4,מטוליסט
6280082,אבי לביא,סמל,גבעתי,ZEEV-5,קשר
2830624,יוסי אזולאי,סרן,שריון 401,MERKAVA-14,"נהג נגמ""ש"
5949620,דוד חדד,טוראי,איסוף קרבי,MERKAVA-10,מפקד
4608774,אבי מזרחי,"רס""ל",שריון 188,NAMER-4,קשר
2782770,אלון מזרחי,סרן,צנחנים,HUMMER-7,נהג
2559364,גיא גבאי,"סמ""ר",שריון 7,ZEEV-6,תותחן
2335453,רועי אברהם,"רס""ל",גבעתי,ZEEV-2,נהג
3758574,עומר גבאי,סרן,"נח""ל",HUMMER-2,קלע
3292473,אבי סגל,"רב""ט",הנדסה קרבית,MERKAVA-1,מאגיסט
6434203,אריאל אברהם,סמל,צנחנים,MERKAVA-14,קלע
5403333,אבי פרידמן,סמל,כפיר,NAMER-13,חובש
2595843,דני ביטון,"רב""ט",גבעתי,HUMMER-8,מפקד
8160933,עומר אזולאי,"רס""ל",שריון 188,לא משובץ,"נהג נגמ""ש"
7748935,מתן שוורץ,"רב""ט",צנחנים,NAMER-14,תותחן
7755332,דוד לביא,"סמ""ר",גבעתי,MERKAVA-4,"נהג נגמ""ש"
1378240,אלון לוי,"רס""ל",הנדסה קרבית,HUMMER-3,מפקד
8209817,יוסי שוורץ,סרן,צנחנים,HUMMER-2,מטוליסט
7434628,שלומי ביטון,טוראי,איסוף קרבי,לא משובץ,טען
4116700,דני מזרחי,"סמ""ר",שריון 7,NAMER-5,מאגיסט
5660666,דוד חדד,"רס""ל",שריון 7,ZEEV-4,קלע
3212900,שלומי ביטון,"רס""ל",גולני,לא משובץ,טען
6289771,אבי כהן,"סמ""ר",גולני,NAMER-4,תותחן
8663162,אבי פרידמן,"רס""ל",גולני,MERKAVA-2,קשר
7385919,יובל שפירא,סרן,"מג""ב",HUMMER-3,תותחן
9079172,אורי כהן,סגן,"נח""ל",NAMER-10,נהג
3988475,איתי גבאי,"רס""ל",הנדסה קרבית,HUMMER-5,"נהג נגמ""ש"
2544229,יובל סגל,"רס""ל","נח""ל",HUMMER-6,"נהג נגמ""ש"
4873925,משה לוי,סרן,כפיר,HUMMER-6,"נהג נגמ""ש"
6777897,איתי מזרחי,טוראי,איסוף קרבי,ZEEV-8,מאגיסט
3716101,אורי כהן,"רב""ט",שריון 188,לא משובץ,תותחן
1967905,אלון שוורץ,טוראי,"מג""ב",לא משובץ,"נהג נגמ""ש"
8997114,יקיר פרץ,סגן,גולני,MERKAVA-5,טען
8729840,אורי בר,"רב""ט",גולני,לא משובץ,קשר
4113825,אבי אזולאי,"סמ""ר","נח""ל",לא משובץ,טען
8136478,יוסי שפירא,"רס""ל",גולני,NAMER-12,לוחם
2074859,עומר כהן,סמל,שריון 188,לא משובץ,קלע
8806676,יקיר דהן,סגן,כפיר,NAMER-8,נהג
9063466,רועי לביא,"רב""ט",שריון 7,ZEEV-6,לוחם
9741913,עידן בר,סמל,הנדסה קרבית,NAMER-4,קשר
7919392,יקיר אברהם,סגן,גבעתי,NAMER-13,נהג
3150440,עידן פרידמן,טוראי,צנחנים,ZEEV-1,"נהג נגמ""ש"
5211339,אריאל דהן,"רס""ל",שריון 7,ZEEV-4,נהג
7874312,דני כהן,"סמ""ר",כפיר,HUMMER-4,מפקד
1980196,אבי אזולאי,"רס""ל",כפיר,MERKAVA-11,מאגיסט
6834864,דוד חדד,"סמ""ר",גבעתי,לא משובץ,טען
3186912,שלומי לוי,סמל,"נח""ל",ZEEV-7,לוחם
3437530,דני לוי,"סג""מ","מג""ב",HUMMER-4,"נהג נגמ""ש"
9560839,מתן לביא,"רב""ט",שריון 401,לא משובץ,מאגיסט
9021237,אריאל לוי,טוראי,"נח""ל",HUMMER-6,חובש
2432495,עידן לוי,"רב""ט","מג""ב",לא משובץ,נהג
1910649,מתן שפירא,סרן,שריון 7,ZEEV-9,נהג
6356571,משה יוסף,"רס""ל",שריון 401,HUMMER-5,מאגיסט
1496242,יקיר כהן,"רב""ט",שריון 188,HUMMER-6,קשר
3468474,תומר מזרחי,"סג""מ",גולני,HUMMER-5,מאגיסט
9313979,עידן לביא,סגן,גולני,NAMER-1,מטוליסט
4404345,איתי מלכה,"רס""ל",גבעתי,HUMMER-2,נהג
9689670,אלון כץ,סגן,שריון 401,MERKAVA-4,תותחן
9572460,עומר כהן,סמל,הנדסה קרבית,MERKAVA-1,קלע
4254596,יוסי בן דוד,סגן,איסוף קרבי,לא משובץ,קשר
2683291,גיא פרץ,"סג""מ",צנחנים,לא משובץ,נהג
1461222,רועי דהן,"רב""ט","מג""ב",MERKAVA-3,לוחם
9686823,עומר שפירא,טוראי,הנדסה קרבית,MERKAVA-5,טען
